TIC ID,Imaging Observations,Spectroscopy Observations,Time Series Observations,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Predicted Radial Velocity Semi-amplitude (m/s),TESS Mag,TESS Mag err,Planet Num,TESS Disposition,TFOPWG Disposition,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Comments,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified
231663901,3,1,0,101.01,,5,5,5,5,5,5,5,86.8,209.9,115.19,63.3,12.4069,0.006,1,KP,KP,spoc-s01-s69-b0A-KP,SPOC,318.737012,-55.871863,12.641,0.044,-16.011,0.041,2458326.009117,0.00013154597,1.4303699496507,7.7233494E-7,1.6165994039944,0.019208942,20.784,0.200653,18960.712294363,184.79134,13.1874503075824,.6576402,1281.2408253875,1525.9048088915,151.72173,375.31,4.411,5600,,4.48851,,.890774011611938,.0438467,,,1.05,.129454,"1,27,67","WASP-46 b",2018-09-05,2024-09-06,2025-07-31
149603524,1,2,1,102.01,,5,5,5,5,5,5,5,130.3,165.3,317,104.8,9.7109,0.006,1,KP,KP,qlp-s97-ffi,SPOC/QLP,87.139821,-63.988329,-15.641,0.037,26.046,0.037,2460982.065462,0.00089663078411459,4.4119372276973,2.2965120476471E-6,3.6321284820569,0.22220276916165,16.091885,0.023524,14711.881030294,21.66597174287,15.064873935606883,.6843125375481518,1817.887361197,1819.1138579374,3217.1734627902,175.631,.588,6280,,4.32092,,1.21,.05,.24,.05,1.28,.190812,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,62,64,65,68,69,87,88,89,94,95,96,97","WASP-62 b",2019-05-07,2026-04-17,2026-06-03
336732616,9,0,0,103.01,,5,5,5,5,5,5,5,47.7,136.4,116.75,41.7,11.5232,0.008,1,KP,KP,sector-01-spoc-alerts,SPOC,312.457488,-24.428694,10.426,0.07,15.62,0.051,2458327.25256,0.000586,3.547854,0.000149,3.494333,0.049205,11.377523,0.133944,10424.3718,123.359314,14.581841,.196435,1212.004376,1504.858953,59.5,411.211,7.752,6351,,4.22896,,1.4,,,,1.27,.196969,1,"HATS-3 b",2018-09-05,2024-09-06,2025-07-31
231670397,3,0,1,104.01,,5,5,5,5,5,5,5,52.4,122.6,121.75,44.1,9.8638,0.006,1,KP,KP,spoc-s01-s36-b0A-CPKP,SPOC,319.949697,-58.148933,10.552,0.045,-10.658,0.043,2460150.608677,0.0006817,4.0872956,2.3E-6,5.5861130474761,0.050875474,3.885379,0.03875,3572.1712498597,35.689426,13.6237731764604,.65182334,2242.360540084,1755.0767383266,48.678577,316.678,2.9655,6036,,3.93359,,2.21866989135742,.102573,,,1.16,.166129,"1,27,67","WASP-73 b",2018-09-05,2023-10-16,2025-07-31
144065872,2,3,1,105.01,,5,5,5,5,5,5,5,187.5,431.5,123.11,59.5,9.4995,0.006,1,KP,KP,qlp-s95-ffi,SPOC/QLP,337.457824,-48.003099,91.976,0.052,-6.861,0.069,2460904.412675,9.2938603711439E-5,2.1846669193826,1.1720388415204E-7,2.6989101876837,0.18191176154767,12.597361,0.042851,11535.547515715,39.466516614447,13.71270471750728,.6628323227315875,2841.056188904,2033.9398040687,213.4109614288,137.544,.7905,5630,,4.37759,,1.2382400035858154,.0596985,,,1.03,.127209,"1,28,95","WASP-95 b",2018-09-05,2026-04-08,2026-06-03
38846515,3,0,1,106.01,,5,5,5,5,5,5,5,85.1,101.1,317,112.1,10.3157,0.006,1,KP,KP,qlp-s97-ffi,SPOC/QLP,68.959816,-64.027039,10.845,0.035,-0.499,0.052,2460988.068249,0.00010031652136481,2.8493827259781,2.0377202251834E-7,3.5488879829477,0.2195217299613,8.436824,0.012021,7740.4889994654,11.071799105917,16.078216295744824,.7243942383930205,5502.8822311982,2399.472043919,2972.8537617525,364.411,2.729,6900,,4.438,,1.77,.08,,,1.44,.243534,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,67,68,69,87,88,89,90,94,95,13625,53","WASP-100 b",2019-05-07,2026-02-17,2026-06-03
92352620,3,1,0,107.01,,5,5,5,5,5,5,5,180.3,267.9,317,117.5,9.6433,0.006,1,KP,KP,qlp-s68-ffi,SPOC,313.783239,-34.135751,26.376,0.078,-44.947,0.059,2460176.993334,0.0004485,3.9502008,2.6E-6,4.444,0.046,15.213018,0.104225,13914,95.9899,20.5357,.899664,1009.38,1570,205,211.211,2.4835,6153,,4.18077,,1.71,.07,.22,.1,1.14,.150731,"1,27,68","WASP-94 A b",2018-09-05,2023-11-15,2025-07-31
289793076,4,0,0,108.01,,5,5,5,5,5,5,5,40.9,119,103.46,47.2,13.163,0.01,1,KP,KP,spoc-s01-s92-b0A,SPOC/QLP,316.96148,-26.09672,3.479,0.063,-10.313,0.038,2458328.085025,0.00032694917,3.0440494555696,1.5670732E-6,2.6523471778877,0.04804755,25.049143,0.406916,22807.010177362,374.7136,12.380380419838849,.19941843,315.98777083493,1075.3189971681,73.85645,421.855,8.339,5523,,4.52192,,.8098679780960083,,,,.95,,"1,28,68,92","HATS-13 b",2018-09-05,2026-01-10,2026-06-03
29344935,5,0,0,109.01,,5,5,5,5,5,5,5,33.9,86.9,102.14,48.8,13.2366,0.007,1,KP,KP,spoc-s01-s69-b0A-KP,SPOC,313.215475,-25.687376,1.053,0.052,-9.881,0.029,2458326.127479,0.00047817343,2.766760009832,2.5341785E-6,2.6872177698813,0.07263539,16.351489,0.315828,14947.438782714,290.84625,12.2867388747802,.30639383,505.88400747642,1209.5741228507,41.24269,513.011,9.1275,5346,,4.48823,,.98486602306366,,,,.93,,"1,28,68","HATS-14 b",2018-09-05,2024-09-09,2025-07-31
281459670,1,0,0,110.01,,5,5,5,5,5,5,5,71,79,317,135.2,11.6714,0.006,1,KP,KP,spoc-s01-s69-b0A-KP,SPOC,5.618525,-59.942589,-22.309,0.036,-4.893,0.034,2458328.039934,0.0002273546,3.1743504240477,1.739457E-6,2.7510859593691,0.03093153,16.913636,0.168357,15457.324757623,155.05025,14.9172255754043,.82839006,718.90969938992,1320.6518234321,99.91275,342.14,2.912,5943,,4.42524,,1.1570600271225,.0633669,-.1,.1,1.03,.12909,"1,2,28,29,68","HATS-30 b",2018-11-14,2024-09-09,2025-07-31
